FID,FULLNAME,Shape_Leng,Type,Shape_Le_1,Shape_Area
233,Orleans Atwater,3531.73600344,Park,3531.73600344,647632.515033
234,Alfred Brush Ford,8568.86954628,Park,8568.86954628,2545682.33111
235,Michigan-Third (Kosciuszko Statue),629.80019243,Park,629.800192436,15371.2627392
236,Lafayette-St. Aubin,2482.02124221,Park,2482.02124221,149683.783184
237,Mariner Park,2350.92180551,Park,2350.92180551,310729.75807
238,Grand Circus Park,1286.73807879,Park,1286.73807879,96758.8642463
239,Chene,2709.64406506,Park,2709.64406506,405693.751992
240,Quincy-Midland,553.74644467,Park,553.746444676,15309.1543175
241,Corrigan,1626.6579514,Park,1626.6579514,140984.376511
242,Elmwood-Central,9851.69683158,Park,9851.69683158,721511.65175
243,Capitol,638.97250783,Park,638.972507839,21671.2859872
244,Fiori,605.66583791,Park,605.665837915,21545.5988377
245,Couzens-Outer Drive,1081.3250581,Park,1081.3250581,70539.4052911
246,Dues,2566.51655714,Park,2566.51655714,305389.03707
247,Heilmann Playfield,5665.16543915,Park,5665.16543915,1334566.34363
248,Appoline-McNichols,182.25157455,Park,182.251574552,808.676439898
249,Dabrowski,1060.37191627,Park,1060.37191627,70256.3493734
250,Bringard-Boulder,1131.21862537,Park,1131.21862537,79695.1292281
251,Messmer,2902.52505858,Park,2902.52505858,315308.310456
252,Phelps,1745.94784933,Park,1745.94784933,163144.239457
253,Perrien,1823.11178314,Park,1823.11178314,199454.032732
254,Cannon,3814.47091068,Park,3814.47091068,489534.398797
255,Brookins,1321.55243151,Park,1321.55243151,68387.4884121
256,Hill,1011.71951653,Park,1011.71951653,63276.6589238
257,Vernor,1599.80844952,Park,1599.80844952,99564.4557179
258,Skinner,2435.50495417,Park,2435.50495417,297980.8241
259,Tireman-Littlefield,1151.14803579,Park,1151.14803579,56843.1300177
260,Vernor,885.15176969,Park,885.151769697,34386.5574408
261,Sasser,2956.93784053,Park,2956.93784053,409220.592738
262,Belton-Mark Twain,1711.57767408,Park,1711.57767408,182083.24201
263,Balduck,4180.75733111,Park,4180.75733111,1018981.23731
264,Redmond Plaza,370.42990655,Park,370.429906559,6747.07107574
265,Wick,765.97340826,Park,765.973408268,18366.0849449
266,Balduck,5357.40468341,Park,5357.40468341,1507885.1145
267,Wolf,674.71585491,Park,674.71585491,28273.4804298
268,Keidan,886.18391386,Park,886.183913865,35951.8790154
269,No Name,700.24093017,Park,700.240930178,9678.23461441
270,Bryant-Vermont,509.39424964,Park,509.39424964,16211.2705456
271,Lifsitz,1231.61021487,Park,1231.61021487,53986.3805432
272,No Name,480.7810081,Park,480.781008108,6272.87542398
273,Mackay-Modern,993.11220753,Park,993.112207538,44006.4838488
274,Lifsitz,392.29124186,Park,392.291241868,9559.69155751
275,Freeland-W. Chicago,2447.0135404,Park,2447.0135404,132493.07151
276,Yakisch,1235.40984942,Park,1235.40984942,68687.5499168
277,Kantgias,400.0742097,Park,400.074209705,9904.77840504
278,Wark,1539.30325565,Park,1539.30325565,40658.2268911
279,Dequindre-Emery,849.3623723,Park,849.362372306,36535.0661282
280,Bishop,5589.89267875,Park,5589.89267875,1521623.03643
281,Mallett,1666.47561167,Park,1666.47561167,141511.740759
282,Butler,2119.88299027,Park,2119.88299027,249812.330965
283,Ewald,876.66595212,Park,876.665952123,46397.3425615
284,Sawyer,1331.98663106,Park,1331.98663106,95747.6229464
285,Buchanan-Tillman,361.97615124,Park,361.976151241,7247.71359026
286,14th-Marquette,586.30764588,Park,586.30764588,17349.1481472
287,Diack,1697.19534655,Park,1697.19534655,152328.747333
288,Downey,769.90704987,Park,769.907049876,36315.7567431
289,Twork,670.07250178,Park,670.072501781,23501.7898408
290,Luger,1431.74627235,Park,1431.74627235,118150.827887
291,Roosevelt,1000.82115849,Park,1000.82115849,62257.4248195
292,Conant-Minnesota,1204.87132739,Park,1204.87132739,78385.7760942
293,Comstock,6627.72313322,Park,6627.72313322,1106942.3148
294,Clemente,975.05279798,Park,975.052797981,46633.6599143
295,Peterson,3657.54938925,Park,3657.54938925,736549.864968
296,Conant-Minnesota,680.12184106,Park,680.121841064,24003.6782649
297,Riverside,1972.92725898,Park,1972.92725898,229685.656141
298,Puritan-Coyle,413.87971373,Park,413.879713731,10693.9493242
299,Evans,1507.73485322,Park,1507.73485322,105798.582103
300,Riverside,1905.87054293,Park,1905.87054293,215298.357655
301,Woodrow Wilson-Fullerton,780.06128141,Park,780.061281414,32403.8092474
302,Riverside,2290.18375233,Park,2290.18375233,312701.79744
303,Lucky Place,438.00307097,Park,438.003070972,11150.7212023
304,Doan,1857.55029365,Park,1857.55029365,125449.510247
305,Callahan,1044.92356515,Park,1044.92356515,64359.6839883
